p_id,subjectGroup,correct,idea_units,RP_any,RP_imp,RP_per,content,familiarity,vocabulary,comprehension,GMRT,read_time_minutes,RP_RT,GMRT_transformed,knowledge_transformed
55,RPp,0,1,0.0,0.0,0.0,"﻿A virus is a tiny, nonliving particle ",20,25,14,39,2.1982166666666667,9.63155,-1.8120734532270175,-0.4504927814032112
55,RPp,0,2,0.0,0.0,0.0, Viruses can invade and reproduce inside any living cells  ,20,25,14,39,2.1982166666666667,9.63155,-1.8120734532270175,-0.4504927814032112
55,RPp,0,3,0.0,0.0,0.0, Biologists consider viruses to be non-living ,20,25,14,39,2.1982166666666667,9.63155,-1.8120734532270175,-0.4504927814032112
55,RPp,0,4,0.0,0.0,0.0, Viruses are not cells ,20,25,14,39,2.1982166666666667,9.63155,-1.8120734532270175,-0.4504927814032112
55,RPp,0,5,1.0,0.0,1.0, Viruses do not use energy to grow ,20,25,14,39,2.1982166666666667,9.63155,-1.8120734532270175,-0.4504927814032112
55,RPp,0,6,1.0,0.0,1.0, Viruses do not respond to their surroundings ,20,25,14,39,2.1982166666666667,9.63155,-1.8120734532270175,-0.4504927814032112
55,RPp,0,7,0.0,0.0,0.0," Viruses cannot make food, ",20,25,14,39,2.1982166666666667,9.63155,-1.8120734532270175,-0.4504927814032112
55,RPp,0,8,0.0,0.0,0.0, Viruses cannot take in food,20,25,14,39,2.1982166666666667,9.63155,-1.8120734532270175,-0.4504927814032112
55,RPp,0,9,0.0,0.0,0.0, Viruses cannot produce waste ,20,25,14,39,2.1982166666666667,9.63155,-1.8120734532270175,-0.4504927814032112
55,RPp,0,10,0.0,0.0,0.0,"The only way in which viruses are like organisms is that they can multiply, ",20,25,14,39,2.1982166666666667,9.63155,-1.8120734532270175,-0.4504927814032112
55,RPp,0,11,0.0,0.0,0.0, but they do so differently ,20,25,14,39,2.1982166666666667,9.63155,-1.8120734532270175,-0.4504927814032112
55,RPp,1,12,1.0,1.0,0.0, Viruses can only multiply when they are inside a living cell ,20,25,14,39,2.1982166666666667,9.63155,-1.8120734532270175,-0.4504927814032112
55,RPp,1,13,0.0,0.0,0.0,Viruses infect host cells,20,25,14,39,2.1982166666666667,9.63155,-1.8120734532270175,-0.4504927814032112
55,RPp,0,14,0.0,0.0,0.0,Host cells are infected so that the virus can multiply,20,25,14,39,2.1982166666666667,9.63155,-1.8120734532270175,-0.4504927814032112
55,RPp,0,15,0.0,0.0,0.0,All viruses have two basic parts: ,20,25,14,39,2.1982166666666667,9.63155,-1.8120734532270175,-0.4504927814032112
55,RPp,0,16,0.0,0.0,0.0,a protein coat,20,25,14,39,2.1982166666666667,9.63155,-1.8120734532270175,-0.4504927814032112
55,RPp,0,17,0.0,0.0,0.0,the protein coat protects the virus,20,25,14,39,2.1982166666666667,9.63155,-1.8120734532270175,-0.4504927814032112
55,RPp,0,18,0.0,0.0,0.0, and an inner core,20,25,14,39,2.1982166666666667,9.63155,-1.8120734532270175,-0.4504927814032112
55,RPp,0,19,0.0,0.0,0.0,the inner core is made of genetic material ,20,25,14,39,2.1982166666666667,9.63155,-1.8120734532270175,-0.4504927814032112
55,RPp,0,20,0.0,0.0,0.0, A virus’s genetic material contains the instructions for making new viruses,20,25,14,39,2.1982166666666667,9.63155,-1.8120734532270175,-0.4504927814032112
55,RPp,0,21,0.0,0.0,0.0, The proteins on the surface of a virus play an important role ,20,25,14,39,2.1982166666666667,9.63155,-1.8120734532270175,-0.4504927814032112
55,RPp,0,22,0.0,0.0,0.0, during the invasion of a host cell ,20,25,14,39,2.1982166666666667,9.63155,-1.8120734532270175,-0.4504927814032112
55,RPp,0,23,1.0,1.0,0.0, Each virus contains unique surface proteins ,20,25,14,39,2.1982166666666667,9.63155,-1.8120734532270175,-0.4504927814032112
55,RPp,0,24,1.0,1.0,0.0, the surface proteins look like the proteins that the host cell normally needs ,20,25,14,39,2.1982166666666667,9.63155,-1.8120734532270175,-0.4504927814032112
55,RPp,0,25,1.0,0.0,1.0, The virus attaches itself to special sites on the host ,20,25,14,39,2.1982166666666667,9.63155,-1.8120734532270175,-0.4504927814032112
55,RPp,0,26,1.0,0.0,1.0,the host has special sites reserved for the virus's surface proteins ,20,25,14,39,2.1982166666666667,9.63155,-1.8120734532270175,-0.4504927814032112
55,RPp,0,27,0.0,0.0,0.0," Like keys, a virus’s proteins fit only into certain “locks,”  or proteins on the surface of a host cell ",20,25,14,39,2.1982166666666667,9.63155,-1.8120734532270175,-0.4504927814032112
55,RPp,0,28,0.0,0.0,0.0," Because the lock-and-key action of a virus is specific, ",20,25,14,39,2.1982166666666667,9.63155,-1.8120734532270175,-0.4504927814032112
55,RPp,0,29,0.0,0.0,0.0, a certain virus can attach only to one or a few types of cells  ,20,25,14,39,2.1982166666666667,9.63155,-1.8120734532270175,-0.4504927814032112
55,RPp,0,30,0.0,0.0,0.0,"Once a virus attaches to the surface of a host cell, ",20,25,14,39,2.1982166666666667,9.63155,-1.8120734532270175,-0.4504927814032112
55,RPp,0,31,0.0,0.0,0.0, it injects its genetic material into the cell ,20,25,14,39,2.1982166666666667,9.63155,-1.8120734532270175,-0.4504927814032112
55,RPp,0,32,1.0,1.0,0.0, The virus’s inner core takes over the cell functions ,20,25,14,39,2.1982166666666667,9.63155,-1.8120734532270175,-0.4504927814032112
55,RPp,1,33,1.0,1.0,0.0, and the cell starts to produce the virus’s proteins ,20,25,14,39,2.1982166666666667,9.63155,-1.8120734532270175,-0.4504927814032112
55,RPp,0,34,1.0,1.0,0.0, and genetic material ,20,25,14,39,2.1982166666666667,9.63155,-1.8120734532270175,-0.4504927814032112
